semana,casos,año,tipo
1,2.0,2022,Real
2,5.0,2022,Real
3,7.0,2022,Real
4,3.0,2022,Real
5,4.0,2022,Real
6,5.0,2022,Real
7,4.0,2022,Real
8,4.0,2022,Real
9,4.0,2022,Real
10,8.0,2022,Real
11,2.0,2022,Real
12,6.0,2022,Real
13,8.0,2022,Real
14,5.0,2022,Real
15,3.0,2022,Real
16,8.0,2022,Real
17,6.0,2022,Real
18,1.0,2022,Real
19,3.0,2022,Real
20,6.0,2022,Real
21,5.0,2022,Real
22,3.0,2022,Real
23,4.0,2022,Real
24,3.0,2022,Real
25,4.0,2022,Real
26,4.0,2022,Real
27,5.0,2022,Real
28,3.0,2022,Real
29,3.0,2022,Real
30,4.0,2022,Real
31,5.0,2022,Real
32,10.0,2022,Real
33,6.0,2022,Real
34,3.0,2022,Real
35,6.0,2022,Real
36,2.0,2022,Real
37,8.0,2022,Real
38,3.0,2022,Real
39,11.0,2022,Real
40,2.0,2022,Real
41,3.0,2022,Real
42,8.0,2022,Real
43,7.0,2022,Real
44,3.0,2022,Real
45,3.0,2022,Real
46,6.0,2022,Real
47,3.0,2022,Real
48,7.0,2022,Real
49,7.0,2022,Real
50,2.0,2022,Real
51,4.0,2022,Real
52,2.0,2022,Real
1,1.0,2023,Real
2,1.0,2023,Real
3,1.0,2023,Real
7,1.0,2023,Real
11,1.0,2023,Real
18,1.0,2023,Real
20,2.0,2023,Real
21,1.0,2023,Real
23,1.0,2023,Real
23,2.0,2023,Real
24,3.0,2023,Real
25,3.0,2023,Real
26,1.0,2023,Real
26,3.0,2023,Real
27,1.0,2023,Real
27,5.0,2023,Real
28,6.0,2023,Real
29,1.0,2023,Real
30,3.0,2023,Real
31,2.0,2023,Real
32,3.0,2023,Real
33,2.0,2023,Real
34,5.0,2023,Real
35,5.0,2023,Real
36,1.0,2023,Real
36,6.0,2023,Real
37,2.0,2023,Real
38,1.0,2023,Real
39,3.0,2023,Real
40,1.0,2023,Real
40,6.0,2023,Real
41,1.0,2023,Real
41,1.0,2023,Real
41,8.0,2023,Real
42,1.0,2023,Real
42,14.0,2023,Real
43,1.0,2023,Real
43,1.0,2023,Real
43,8.0,2023,Real
44,1.0,2023,Real
44,1.0,2023,Real
44,15.0,2023,Real
45,1.0,2023,Real
45,1.0,2023,Real
45,1.0,2023,Real
45,1.0,2023,Real
45,4.0,2023,Real
45,11.0,2023,Real
46,1.0,2023,Real
46,1.0,2023,Real
46,18.0,2023,Real
47,20.0,2023,Real
48,1.0,2023,Real
48,1.0,2023,Real
48,1.0,2023,Real
48,1.0,2023,Real
48,26.0,2023,Real
49,1.0,2023,Real
49,36.0,2023,Real
50,1.0,2023,Real
50,30.0,2023,Real
50,1.0,2023,Real
51,2.0,2023,Real
51,1.0,2023,Real
51,39.0,2023,Real
51,1.0,2023,Real
51,1.0,2023,Real
52,1.0,2023,Real
52,1.0,2023,Real
52,1.0,2023,Real
52,1.0,2023,Real
52,43.0,2023,Real
1,1.0,2024,Real
1,1.0,2024,Real
1,1.0,2024,Real
1,43.0,2024,Real
2,1.0,2024,Real
2,1.0,2024,Real
2,1.0,2024,Real
2,1.0,2024,Real
2,32.0,2024,Real
3,1.0,2024,Real
3,1.0,2024,Real
3,37.0,2024,Real
4,3.0,2024,Real
4,1.0,2024,Real
4,2.0,2024,Real
4,58.0,2024,Real
4,1.0,2024,Real
5,2.0,2024,Real
5,1.0,2024,Real
5,1.0,2024,Real
5,1.0,2024,Real
5,1.0,2024,Real
5,1.0,2024,Real
5,2.0,2024,Real
5,1.0,2024,Real
5,44.0,2024,Real
5,1.0,2024,Real
6,1.0,2024,Real
6,1.0,2024,Real
6,3.0,2024,Real
6,1.0,2024,Real
6,1.0,2024,Real
6,1.0,2024,Real
6,4.0,2024,Real
6,1.0,2024,Real
6,2.0,2024,Real
6,2.0,2024,Real
6,44.0,2024,Real
7,1.0,2024,Real
7,1.0,2024,Real
7,1.0,2024,Real
7,1.0,2024,Real
7,1.0,2024,Real
7,3.0,2024,Real
7,2.0,2024,Real
7,67.0,2024,Real
8,1.0,2024,Real
8,2.0,2024,Real
8,3.0,2024,Real
8,1.0,2024,Real
8,2.0,2024,Real
8,1.0,2024,Real
8,2.0,2024,Real
8,62.0,2024,Real
9,2.0,2024,Real
9,1.0,2024,Real
9,1.0,2024,Real
9,1.0,2024,Real
9,3.0,2024,Real
9,65.0,2024,Real
9,1.0,2024,Real
10,4.0,2024,Real
10,1.0,2024,Real
10,74.0,2024,Real
11,3.0,2024,Real
11,2.0,2024,Real
11,68.0,2024,Real
12,2.0,2024,Real
12,1.0,2024,Real
12,1.0,2024,Real
12,1.0,2024,Real
12,1.0,2024,Real
12,1.0,2024,Real
12,3.0,2024,Real
12,1.0,2024,Real
12,77.0,2024,Real
13,2.0,2024,Real
13,1.0,2024,Real
13,1.0,2024,Real
13,1.0,2024,Real
13,1.0,2024,Real
13,1.0,2024,Real
13,2.0,2024,Real
13,1.0,2024,Real
13,66.0,2024,Real
13,1.0,2024,Real
14,1.0,2024,Real
14,1.0,2024,Real
14,1.0,2024,Real
14,1.0,2024,Real
14,1.0,2024,Real
14,1.0,2024,Real
14,96.0,2024,Real
15,1.0,2024,Real
15,1.0,2024,Real
15,1.0,2024,Real
15,2.0,2024,Real
15,1.0,2024,Real
15,1.0,2024,Real
15,113.0,2024,Real
15,1.0,2024,Real
16,2.0,2024,Real
16,1.0,2024,Real
16,3.0,2024,Real
16,1.0,2024,Real
16,1.0,2024,Real
16,133.0,2024,Real
17,2.0,2024,Real
17,4.0,2024,Real
17,1.0,2024,Real
17,2.0,2024,Real
17,130.0,2024,Real
17,1.0,2024,Real
18,2.0,2024,Real
18,1.0,2024,Real
18,1.0,2024,Real
18,123.0,2024,Real
18,1.0,2024,Real
19,1.0,2024,Real
19,1.0,2024,Real
19,1.0,2024,Real
19,1.0,2024,Real
19,1.0,2024,Real
19,96.0,2024,Real
20,1.0,2024,Real
20,1.0,2024,Real
20,1.0,2024,Real
20,1.0,2024,Real
20,2.0,2024,Real
20,1.0,2024,Real
20,98.0,2024,Real
20,1.0,2024,Real
21,3.0,2024,Real
21,2.0,2024,Real
21,1.0,2024,Real
21,1.0,2024,Real
21,2.0,2024,Real
21,1.0,2024,Real
21,1.0,2024,Real
21,124.0,2024,Real
22,2.0,2024,Real
22,1.0,2024,Real
22,1.0,2024,Real
22,1.0,2024,Real
22,1.0,2024,Real
22,1.0,2024,Real
22,2.0,2024,Real
22,2.0,2024,Real
22,2.0,2024,Real
22,92.0,2024,Real
22,1.0,2024,Real
23,2.0,2024,Real
23,1.0,2024,Real
23,1.0,2024,Real
23,1.0,2024,Real
23,1.0,2024,Real
23,1.0,2024,Real
23,95.0,2024,Real
23,1.0,2024,Real
24,3.0,2024,Real
24,4.0,2024,Real
24,1.0,2024,Real
24,1.0,2024,Real
24,1.0,2024,Real
24,1.0,2024,Real
24,1.0,2024,Real
24,1.0,2024,Real
24,87.0,2024,Real
25,1.0,2024,Real
25,1.0,2024,Real
25,1.0,2024,Real
25,78.0,2024,Real
26,1.0,2024,Real
26,1.0,2024,Real
26,4.0,2024,Real
26,2.0,2024,Real
26,66.0,2024,Real
26,1.0,2024,Real
27,3.0,2024,Real
27,2.0,2024,Real
27,1.0,2024,Real
27,1.0,2024,Real
27,1.0,2024,Real
27,2.0,2024,Real
27,2.0,2024,Real
27,51.0,2024,Real
28,1.0,2024,Real
28,1.0,2024,Real
28,1.0,2024,Real
28,1.0,2024,Real
28,1.0,2024,Real
28,55.0,2024,Real
28,1.0,2024,Real
29,3.0,2024,Real
29,2.0,2024,Real
29,1.0,2024,Real
29,1.0,2024,Real
29,43.0,2024,Real
30,1.0,2024,Real
30,1.0,2024,Real
30,5.0,2024,Real
1,1.40119206905365,2025,Predicción
2,1.4136039018630981,2025,Predicción
3,1.4129514694213867,2025,Predicción
4,1.4050712585449219,2025,Predicción
5,1.4330803155899048,2025,Predicción
6,1.4268914461135864,2025,Predicción
7,1.4358034133911133,2025,Predicción
8,1.4347968101501465,2025,Predicción
9,1.3242647647857666,2025,Predicción
10,1.4385145902633667,2025,Predicción
11,1.4392155408859253,2025,Predicción
12,1.4825563430786133,2025,Predicción
13,1.5059353113174438,2025,Predicción
14,1.5224934816360474,2025,Predicción
15,1.5361627340316772,2025,Predicción
16,1.4961777925491333,2025,Predicción
17,1.5550297498703003,2025,Predicción
18,1.5785561800003052,2025,Predicción
19,1.593764305114746,2025,Predicción
20,1.6020309925079346,2025,Predicción
21,1.6043835878372192,2025,Predicción
22,1.6091701984405518,2025,Predicción
23,1.6465860605239868,2025,Predicción
24,1.6705260276794434,2025,Predicción
25,1.6674590110778809,2025,Predicción
26,1.6531754732131958,2025,Predicción
27,1.6878093481063843,2025,Predicción
28,1.7256823778152466,2025,Predicción
29,1.7658075094223022,2025,Predicción
30,1.6778839826583862,2025,Predicción
31,2.7625937461853027,2025,Predicción
32,2.676940441131592,2025,Predicción
33,2.629061222076416,2025,Predicción
34,2.642454147338867,2025,Predicción
35,2.8228747844696045,2025,Predicción
36,1.7782927751541138,2025,Predicción
37,2.8330559730529785,2025,Predicción
38,2.8056280612945557,2025,Predicción
39,2.7280426025390625,2025,Predicción
40,2.2436437606811523,2025,Predicción
41,2.007843255996704,2025,Predicción
42,5.552729606628418,2025,Predicción
43,1.9339207410812378,2025,Predicción
44,2.8739209175109863,2025,Predicción
45,1.998127818107605,2025,Predicción
46,2.134704113006592,2025,Predicción
47,2.7402453422546387,2025,Predicción
48,2.8447532653808594,2025,Predicción
49,2.142711877822876,2025,Predicción
50,3.1859631538391113,2025,Predicción
51,2.1510701179504395,2025,Predicción
52,2.291133165359497,2025,Predicción
1,1.3182345628738403,2026,Predicción
2,1.3274000883102417,2026,Predicción
3,1.3268601894378662,2026,Predicción
4,1.3279592990875244,2026,Predicción
5,1.344476580619812,2026,Predicción
6,1.3456752300262451,2026,Predicción
7,1.34965980052948,2026,Predicción
8,1.3530364036560059,2026,Predicción
9,1.270582914352417,2026,Predicción
10,1.3686047792434692,2026,Predicción
11,1.3683022260665894,2026,Predicción
12,1.4044913053512573,2026,Predicción
13,1.424584150314331,2026,Predicción
14,1.4296585321426392,2026,Predicción
15,1.4489415884017944,2026,Predicción
16,1.4137192964553833,2026,Predicción
17,1.463550090789795,2026,Predicción
18,1.482298731803894,2026,Predicción
19,1.494596242904663,2026,Predicción
20,1.501165509223938,2026,Predicción
21,1.5023261308670044,2026,Predicción
22,1.5004053115844727,2026,Predicción
23,1.5365983247756958,2026,Predicción
24,1.560228705406189,2026,Predicción
25,1.555625319480896,2026,Predicción
26,1.5439765453338623,2026,Predicción
27,1.5705342292785645,2026,Predicción
28,1.6054490804672241,2026,Predicción
29,1.6410847902297974,2026,Predicción
30,1.5624682903289795,2026,Predicción
31,2.450845241546631,2026,Predicción
32,2.3809573650360107,2026,Predicción
33,2.3419792652130127,2026,Predicción
34,2.3532238006591797,2026,Predicción
35,2.5005595684051514,2026,Predicción
36,1.6535677909851074,2026,Predicción
37,2.5094330310821533,2026,Predicción
38,2.4868969917297363,2026,Predicción
39,2.4267306327819824,2026,Predicción
40,1.9943715333938599,2026,Predicción
41,1.8369300365447998,2026,Predicción
42,4.300909996032715,2026,Predicción
43,1.7744513750076294,2026,Predicción
44,2.546663761138916,2026,Predicción
45,1.8262313604354858,2026,Predicción
46,1.9127734899520874,2026,Predicción
47,2.435962677001953,2026,Predicción
48,2.521665096282959,2026,Predicción
49,1.9347630739212036,2026,Predicción
50,2.641964912414551,2026,Predicción
51,1.9398891925811768,2026,Predicción
52,2.0351767539978027,2026,Predicción
